product_id,product_name,category,brand
1,Product_1,Sports,BrandB
2,Product_2,Home,BrandC
3,Product_3,Sports,BrandA
4,Product_4,Sports,BrandD
5,Product_5,Beauty,BrandA
6,Product_6,Sports,BrandA
7,Product_7,Home,BrandC
8,Product_8,Sports,BrandB
9,Product_9,Beauty,BrandB
10,Product_10,Beauty,BrandA
11,Product_11,Home,BrandD
12,Product_12,Clothing,BrandB
13,Product_13,Clothing,BrandD
14,Product_14,Sports,BrandB
15,Product_15,Electronics,BrandD
16,Product_16,Sports,BrandC
17,Product_17,Home,BrandD
18,Product_18,Home,BrandC
19,Product_19,Home,BrandC
20,Product_20,Home,BrandD
21,Product_21,Home,BrandC
22,Product_22,Beauty,BrandA
23,Product_23,Clothing,BrandC
24,Product_24,Home,BrandB
25,Product_25,Electronics,BrandD
26,Product_26,Electronics,BrandA
27,Product_27,Electronics,BrandD
28,Product_28,Electronics,BrandB
29,Product_29,Beauty,BrandB
30,Product_30,Electronics,BrandB
31,Product_31,Home,BrandC
32,Product_32,Sports,BrandC
33,Product_33,Electronics,BrandD
34,Product_34,Beauty,BrandD
35,Product_35,Beauty,BrandA
36,Product_36,Electronics,BrandA
37,Product_37,Sports,BrandD
38,Product_38,Electronics,BrandC
39,Product_39,Beauty,BrandB
40,Product_40,Clothing,BrandD
41,Product_41,Home,BrandA
42,Product_42,Beauty,BrandC
43,Product_43,Electronics,BrandD
44,Product_44,Home,BrandD
45,Product_45,Electronics,BrandC
46,Product_46,Electronics,BrandD
47,Product_47,Clothing,BrandC
48,Product_48,Home,BrandB
49,Product_49,Home,BrandC
50,Product_50,Clothing,BrandC
51,Product_51,Beauty,BrandC
52,Product_52,Electronics,BrandD
53,Product_53,Sports,BrandD
54,Product_54,Electronics,BrandC
55,Product_55,Electronics,BrandD
56,Product_56,Beauty,BrandA
57,Product_57,Electronics,BrandA
58,Product_58,Clothing,BrandD
59,Product_59,Clothing,BrandD
60,Product_60,Home,BrandC
