customer_id,customer_name,city,state,signup_year
1,Customer_1,Hyderabad,TS,2018
2,Customer_2,Pune,KA,2021
3,Customer_3,Bangalore,TS,2021
4,Customer_4,Pune,KA,2021
5,Customer_5,Pune,TS,2022
6,Customer_6,Delhi,MH,2018
7,Customer_7,Bangalore,TS,2022
8,Customer_8,Bangalore,KA,2022
9,Customer_9,Bangalore,KA,2018
10,Customer_10,Pune,DL,2018
11,Customer_11,Hyderabad,MH,2018
12,Customer_12,Bangalore,TS,2018
13,Customer_13,Pune,DL,2021
14,Customer_14,Delhi,TS,2020
15,Customer_15,Hyderabad,TS,2020
16,Customer_16,Delhi,DL,2018
17,Customer_17,Hyderabad,DL,2020
18,Customer_18,Pune,DL,2020
19,Customer_19,Mumbai,DL,2018
20,Customer_20,Hyderabad,DL,2020
21,Customer_21,Delhi,TS,2022
22,Customer_22,Pune,DL,2019
23,Customer_23,Hyderabad,MH,2019
24,Customer_24,Mumbai,KA,2018
25,Customer_25,Mumbai,DL,2021
26,Customer_26,Bangalore,DL,2018
27,Customer_27,Bangalore,TS,2021
28,Customer_28,Delhi,DL,2019
29,Customer_29,Hyderabad,DL,2018
30,Customer_30,Hyderabad,DL,2022
31,Customer_31,Bangalore,TS,2020
32,Customer_32,Hyderabad,DL,2021
33,Customer_33,Hyderabad,KA,2020
34,Customer_34,Mumbai,TS,2020
35,Customer_35,Bangalore,KA,2018
36,Customer_36,Pune,TS,2020
37,Customer_37,Bangalore,DL,2022
38,Customer_38,Pune,KA,2020
39,Customer_39,Mumbai,TS,2018
40,Customer_40,Delhi,MH,2022
41,Customer_41,Hyderabad,DL,2019
42,Customer_42,Mumbai,TS,2020
43,Customer_43,Hyderabad,MH,2018
44,Customer_44,Delhi,TS,2019
45,Customer_45,Delhi,MH,2019
46,Customer_46,Mumbai,DL,2021
47,Customer_47,Delhi,KA,2022
48,Customer_48,Pune,MH,2020
49,Customer_49,Delhi,TS,2018
50,Customer_50,Hyderabad,DL,2021
